Object,center_x,center_y,width,height
car,305.24,365.58,132.48,127.72
car,455.99,188.495,93.98,55.39
car,291.465,119.29,52.03,32.9
car,529.175,84.267,34.23,24.35
car,132.685,97.7555,55.21,37.249
car,83.9045,50.079,33.431,20.986
car,595.29,92.9505,55.74,32.339
car,26.1935,33.0295,21.689,14.921
car,436.62,88.7175,44.98,33.765
car,116.73,186.085,195.28,171.37
car,615.085,68.245,26.69,21.26
car,11.968,17.0735,16.268,12.275
car,497.845,48.559,43.91,23.896
car,18.54485,104.4525,34.5883,36.675
car,530.86,38.918,22.76,14.75
car,56.3345,53.6585,32.721,34.421
