frame,object_id,object_type,bbox_left_up_x,bbox_left_up_y,bbox_x_length,bbox_y_length
4,1,smallcar,511,304,49,73
4,2,smallcar,543,269,21,27
4,1,motorbike,838,305,42,57
4,2,motorbike,920,281,25,49
4,4,motorbike,970,277,28,77
4,5,motorbike,574,273,9,37
4,7,motorbike,818,299,27,59
5,1,smallcar,511,303,49,72
5,2,smallcar,543,269,21,27
5,1,motorbike,836,303,44,60
5,2,motorbike,920,281,25,49
5,4,motorbike,969,277,29,77
5,5,motorbike,573,273,10,36
5,7,motorbike,817,298,27,60
7,1,smallcar,512,303,47,70
7,2,smallcar,542,268,22,27
7,1,motorbike,834,302,45,62
7,2,motorbike,920,281,25,49
7,4,motorbike,969,277,29,77
7,5,motorbike,573,273,9,36
7,3,person,455,321,10,59
8,1,smallcar,514,304,46,69
8,2,smallcar,542,267,23,28
8,2,motorbike,919,281,24,49
8,4,motorbike,969,275,30,79
8,5,motorbike,573,274,9,34
8,7,motorbike,817,299,27,59
8,3,person,455,322,10,58
9,1,smallcar,516,304,44,66
9,2,smallcar,543,267,21,27
9,2,motorbike,917,281,24,49
9,4,motorbike,970,276,30,78
9,5,motorbike,573,273,9,35
9,7,motorbike,816,299,27,59
9,3,person,455,321,10,59
10,1,smallcar,517,303,43,66
10,2,smallcar,542,266,22,28
10,2,motorbike,915,281,26,50
10,4,motorbike,971,278,29,75
10,5,motorbike,573,273,9,35
10,7,motorbike,815,299,28,59
10,3,person,455,321,10,59
12,1,smallcar,519,307,39,59
12,2,smallcar,541,265,23,29
12,1,motorbike,829,301,45,63
12,2,motorbike,914,281,25,51
12,4,motorbike,971,278,30,75
12,5,motorbike,573,273,9,35
12,7,motorbike,814,300,27,58
12,3,person,455,322,10,58
12,4,person,486,338,11,50
13,1,smallcar,519,306,40,60
13,2,smallcar,540,263,25,31
13,1,motorbike,828,303,44,61
13,2,motorbike,913,281,25,51
13,4,motorbike,971,279,30,74
13,5,motorbike,580,272,10,40
13,7,motorbike,813,301,27,57
13,8,motorbike,944,279,22,53
13,3,person,455,322,10,58
13,4,person,486,338,11,50
14,1,smallcar,520,306,39,58
14,2,smallcar,539,262,26,32
14,1,motorbike,827,304,43,60
14,2,motorbike,912,281,25,51
14,4,motorbike,971,279,30,73
14,5,motorbike,581,272,10,40
14,7,motorbike,812,300,27,57
14,8,motorbike,943,279,23,53
14,3,person,455,322,10,58
14,4,person,485,338,12,50
16,1,smallcar,520,305,39,57
16,1,motorbike,826,304,43,60
16,2,motorbike,911,281,25,51
16,5,motorbike,582,272,11,41
16,7,motorbike,811,301,27,56
16,8,motorbike,943,279,22,53
16,4,person,485,338,12,50
17,1,smallcar,522,306,37,55
17,1,motorbike,826,306,42,58
17,2,motorbike,909,281,27,52
17,5,motorbike,583,272,10,41
17,7,motorbike,811,300,27,56
17,8,motorbike,943,279,23,55
17,3,person,455,321,10,59
17,4,person,486,338,11,50
18,1,smallcar,522,304,37,54
18,1,motorbike,825,307,42,57
18,2,motorbike,907,281,26,52
18,5,motorbike,583,273,10,39
18,7,motorbike,809,301,27,57
18,8,motorbike,942,279,24,55
18,3,person,455,321,10,59
18,4,person,486,337,11,51
19,1,smallcar,522,302,38,56
19,1,motorbike,824,307,41,57
19,2,motorbike,906,281,27,53
19,5,motorbike,583,273,10,39
19,7,motorbike,808,302,27,56
19,8,motorbike,939,280,24,55
19,3,person,455,321,10,59
19,4,person,486,337,11,51
21,1,smallcar,522,302,37,54
21,1,motorbike,823,308,40,56
21,2,motorbike,904,282,27,52
21,4,motorbike,972,285,29,70
21,5,motorbike,583,273,10,39
21,7,motorbike,807,303,26,54
21,8,motorbike,938,281,24,55
21,3,person,455,321,10,59
22,1,smallcar,522,299,37,56
22,1,motorbike,819,307,43,57
22,2,motorbike,902,282,27,52
22,4,motorbike,972,286,29,69
22,5,motorbike,584,272,10,40
22,7,motorbike,806,303,26,54
22,8,motorbike,936,281,25,55
22,3,person,455,321,10,59
23,1,smallcar,523,299,38,55
23,1,motorbike,814,304,45,61
23,2,motorbike,900,282,27,52
23,5,motorbike,582,273,10,36
23,7,motorbike,803,302,27,57
23,8,motorbike,937,280,26,57
23,3,person,455,321,10,59
23,4,person,486,337,11,51
24,1,smallcar,524,297,37,56
24,1,motorbike,811,303,46,62
24,2,motorbike,898,283,27,52
24,5,motorbike,582,274,9,35
24,7,motorbike,801,302,28,57
24,8,motorbike,939,279,27,58
24,3,person,455,320,10,61
24,4,person,486,337,11,51
26,1,smallcar,523,295,39,57
26,1,motorbike,809,304,47,62
26,2,motorbike,896,283,27,53
26,5,motorbike,582,275,9,33
26,8,motorbike,932,282,26,56
26,3,person,455,320,10,61
26,4,person,486,337,11,51
27,1,smallcar,523,293,39,57
27,1,motorbike,809,305,45,62
27,2,motorbike,893,283,28,53
27,5,motorbike,582,274,9,34
27,8,motorbike,928,283,26,54
27,3,person,455,320,10,61
27,4,person,486,337,12,52
28,1,smallcar,525,294,37,54
