frame,object_id,object_type,bbox_left_up_x,bbox_left_up_y,bbox_x_length,bbox_y_length
4,1,smallcar,391,439,109,113
4,2,smallcar,516,333,49,55
4,3,smallcar,951,274,78,51
4,4,smallcar,107,367,65,53
4,5,smallcar,726,270,75,41
4,6,smallcar,511,302,37,43
4,1,motorbike,832,311,52,70
4,2,motorbike,1000,287,34,63
4,3,motorbike,1035,286,31,63
4,4,motorbike,806,277,17,31
5,1,smallcar,397,436,106,110
5,2,smallcar,516,332,50,55
5,3,smallcar,951,274,78,51
5,4,smallcar,107,367,65,53
5,5,smallcar,725,270,76,41
5,6,smallcar,511,302,37,43
5,1,motorbike,832,311,52,70
5,2,motorbike,1000,287,34,63
5,3,motorbike,1035,286,31,63
5,4,motorbike,806,277,17,31
6,1,smallcar,401,431,104,107
6,2,smallcar,516,331,50,55
6,3,smallcar,951,274,78,51
6,4,smallcar,106,366,67,54
6,5,smallcar,725,270,75,41
6,6,smallcar,511,302,37,42
6,1,motorbike,832,311,52,70
6,2,motorbike,1000,287,34,63
6,3,motorbike,1035,286,31,62
6,4,motorbike,806,277,17,31
6,1,person,998,430,32,139
7,1,smallcar,405,427,102,105
7,2,smallcar,517,331,49,53
7,3,smallcar,951,274,78,51
7,4,smallcar,107,367,65,53
7,5,smallcar,725,270,75,41
7,6,smallcar,512,301,37,43
7,1,motorbike,832,311,52,70
7,2,motorbike,1000,287,34,63
7,3,motorbike,1036,286,31,62
7,4,motorbike,806,277,17,31
7,1,person,998,433,32,137
8,1,smallcar,409,425,99,101
8,2,smallcar,518,329,48,54
8,3,smallcar,951,274,78,51
8,4,smallcar,107,367,65,53
8,5,smallcar,725,270,75,41
8,6,smallcar,513,302,35,40
8,8,smallcar,530,274,36,43
8,1,motorbike,832,311,52,70
8,2,motorbike,1000,287,34,63
8,3,motorbike,1035,286,31,62
8,4,motorbike,806,277,17,31
8,1,person,998,436,31,135
9,1,smallcar,412,421,97,101
9,2,smallcar,518,328,48,54
9,3,smallcar,951,274,78,51
9,4,smallcar,107,366,65,52
9,5,smallcar,725,270,75,41
9,6,smallcar,513,301,35,40
9,8,smallcar,530,274,36,43
9,1,motorbike,832,311,52,70
9,2,motorbike,1000,287,34,63
9,3,motorbike,1036,286,31,62
9,4,motorbike,806,277,17,31
9,1,person,997,431,33,143
10,1,smallcar,416,417,95,98
10,2,smallcar,519,327,47,53
10,3,smallcar,951,274,78,51
10,4,smallcar,107,366,66,53
10,5,smallcar,725,270,75,41
10,6,smallcar,514,301,34,40
10,8,smallcar,530,274,36,44
10,1,motorbike,832,311,52,70
10,2,motorbike,1000,287,34,63
10,3,motorbike,1035,286,31,62
10,4,motorbike,806,277,17,31
10,1,person,997,434,32,140
11,1,smallcar,418,413,95,97
11,2,smallcar,519,327,47,52
11,3,smallcar,951,274,78,51
11,4,smallcar,108,366,65,53
11,5,smallcar,725,270,75,41
11,6,smallcar,513,300,36,41
11,8,smallcar,530,274,36,44
11,1,motorbike,832,311,52,70
11,2,motorbike,1000,287,34,63
11,3,motorbike,1035,286,31,62
11,4,motorbike,806,277,17,31
11,1,person,996,434,33,144
12,1,smallcar,421,409,93,96
12,2,smallcar,519,326,47,52
12,3,smallcar,951,274,78,51
12,4,smallcar,110,367,62,50
12,5,smallcar,726,270,75,41
12,6,smallcar,513,300,37,42
12,8,smallcar,530,273,37,44
12,1,motorbike,832,311,52,70
12,2,motorbike,1000,287,34,63
12,3,motorbike,1035,286,31,62
12,4,motorbike,806,277,17,31
12,1,person,995,429,35,154
13,1,smallcar,423,406,92,95
13,2,smallcar,520,325,46,52
13,3,smallcar,951,274,78,51
13,4,smallcar,112,367,61,49
13,5,smallcar,726,270,75,41
13,6,smallcar,514,299,35,41
13,8,smallcar,530,273,37,45
13,1,motorbike,832,311,52,70
13,2,motorbike,1000,287,34,63
13,3,motorbike,1036,286,31,62
13,4,motorbike,806,277,17,31
13,1,person,994,427,37,161
14,1,smallcar,428,405,87,90
14,2,smallcar,520,324,47,52
14,3,smallcar,950,274,80,51
14,4,smallcar,114,368,59,47
14,5,smallcar,726,270,75,41
14,6,smallcar,514,300,35,40
14,8,smallcar,531,272,35,42
14,1,motorbike,831,311,53,71
14,2,motorbike,1000,287,34,62
14,3,motorbike,1035,286,31,61
14,4,motorbike,806,277,17,31
14,1,person,993,426,38,163
15,1,smallcar,430,402,87,89
15,2,smallcar,520,323,47,52
15,3,smallcar,950,273,80,52
15,4,smallcar,115,368,59,47
15,5,smallcar,727,270,75,41
15,6,smallcar,514,299,35,39
15,8,smallcar,532,271,33,41
15,9,smallcar,100,359,34,28
15,1,motorbike,831,311,53,71
15,2,motorbike,1000,286,34,63
15,3,motorbike,1035,286,31,61
15,4,motorbike,806,277,17,31
15,1,person,993,424,38,166
16,1,smallcar,433,398,87,89
16,2,smallcar,521,323,47,52
16,3,smallcar,950,273,80,52
16,4,smallcar,115,368,59,47
16,5,smallcar,728,271,73,40
16,6,smallcar,515,299,34,38
16,8,smallcar,532,271,33,40
16,9,smallcar,100,359,34,29
16,1,motorbike,831,310,53,73
16,2,motorbike,1000,286,34,63
16,3,motorbike,1035,286,31,61
16,4,motorbike,806,277,17,31
16,1,person,993,426,37,164
17,1,smallcar,435,393,86,90
17,2,smallcar,521,322,46,51
17,3,smallcar,950,273,80,52
17,4,smallcar,115,368,59,47
17,5,smallcar,728,271,73,40
17,6,smallcar,515,298,33,38
17,8,smallcar,534,272,29,35
17,9,smallcar,101,359,33,28
17,1,motorbike,831,310,53,73
