Object,center_x,center_y,width,height,confidence
bus,822.5,66.49999738,25,19.00000021,0.010303511
car,841.5000153,142.9999995,12.99999952,16.00000039,0.01044912
person,1071.999969,112.9999959,25.99999905,16.00000039,0.010787903
person,257.9999924,124.9999952,10,18.00000027,0.010928668
person,525,164.4999969,22.00000048,25.00000119,0.010964412
car,699.0000153,116.9999957,35.99999905,40.0000003,0.011410666
car,565.9999847,158.9999986,27.99999952,16.00000039,0.011414004
person,917.5,86.9999975,12.99999952,26.00000113,0.011615269
person,399.5000076,216.0000086,63.00000191,56.00000203,0.012415484
car,110.5000019,281.5000033,221.0000038,157.0000041,0.012471762
bus,765,82.50000179,22.00000048,31.00000083,0.012841485
person,462.0000076,149.9999964,13.99999976,32.00000077,0.013813358
truck,875.5000305,100.9999967,60.99999905,70.00000119,0.014774062
person,1133.499985,153.5000002,18.99999976,39.00000036,0.0149522
person,465.4999924,170.5000019,15,33.00000072,0.015054631
bus,486.5000153,169.0000033,49.00000095,36.00000054,0.016796889
person,839.0000153,142.9999995,13.99999976,16.00000039,0.01700126
person,472.0000076,174.5000017,22.00000048,23.00000131,0.017196642
car,822.5,66.00000143,20.99999905,16.00000039,0.018236488
person,626.5000153,119.000001,15,20.00000015,0.018628988
person,830,121.9999981,13.99999976,26.00000113,0.01915559
person,517.0000076,134.5000041,10,19.00000021,0.019337224
car,860,58.99999917,27.99999952,14.00000051,0.020692648
car,781.5000153,100.5000007,22.99999952,27.00000107,0.021101682
person,237.5,298.4999943,11.00000024,39.00000036,0.021888632
person,383.4999847,198.9999962,12.99999952,34.00000066,0.025390314
person,876.9999695,135,12.00000048,24.00000125,0.027360262
bus,806.5000153,66.49999738,32.99999952,21.00000009,0.02886283
person,1102.5,261.0000086,46.99999809,72.00000107,0.028868791
person,833.0000305,100.9999967,13.99999976,34.00000066,0.028979549
person,1121.500015,247.5,15,64.99999881,0.029689461
car,478.4999847,169.0000033,29.00000095,28.00000101,0.030580575
person,489.0000153,165.4999995,40,27.00000107,0.033442922
person,320,168.0000007,16.00000024,26.00000113,0.034116417
person,359.0000153,261.0000086,12.00000048,32.00000077,0.035712466
person,399.5000076,215.5000019,12.99999952,21.00000009,0.035784096
car,789.0000153,96,27.99999952,20.00000015,0.03659676
car,830.5000305,100.9999967,17.00000048,26.00000113,0.03766777
person,478.4999847,169.0000033,29.00000095,28.00000101,0.046181679
bus,799.0000153,84.99999762,55.99999905,40.0000003,0.046209596
car,822.5,82.99999774,29.00000095,26.00000113,0.057206549
person,404.5000076,181.4999986,40.99999905,78.99999797,0.067272894
person,574.5000076,111.0000014,12.99999952,26.00000113,0.07097955
bus,751.9999695,105.5000031,40,54.9999994,0.076364346
person,1118.499985,148.0000019,29.00000095,32.00000077,0.076522797
bus,425.9999847,168.0000007,86.00000381,108.0000043,0.093916602
car,808.4999847,80.50000191,29.00000095,35.0000006,0.095107526
car,834.4999695,88.00000012,17.00000048,20.00000015,0.096764185
bus,786.5000153,88.00000012,27.00000048,26.00000113,0.098261528
bus,806.9999695,80.0000006,30,36.00000054,0.099978492
car,500.4999924,169.4999993,45,29.00000095,0.10099563
person,621.5000153,121.9999981,12.99999952,20.00000015,0.104969233
motorcycle,1121.500015,149.9999964,30.99999905,38.00000042,0.112815894
bus,699.0000153,124.0000033,27.99999952,34.00000066,0.113296561
person,504.5000076,165.9999955,30.99999905,30.00000089,0.131126314
person,519.0000153,169.4999993,24.00000095,29.00000095,0.155081436
bus,763.0000305,119.000001,68.00000191,58.00000191,0.202152967
bus,135.5000019,262.0000005,271.0000038,192.00001,0.225795612
person,395.9999847,194.5000005,20,56.99999928,0.225796863
bus,790.5000305,78.99999797,32.99999952,34.00000066,0.245644927
truck,135,262.0000005,270,190.0000048,0.247669965
car,789.0000153,84.99999762,32.00000048,28.00000101,0.247832552
car,810.5000305,91.49999857,20.99999905,23.00000131,0.284140587
car,479.0000153,298.0000091,136.0000038,112.0000041,0.417541653
person,1120.999985,261.0000086,24.00000095,70.00000119,0.444343805
car,697.5,124.4999993,22.99999952,25.00000119,0.466558814
truck,479.0000153,299.000001,138.0000019,112.0000041,0.523604155
person,975,249.9999905,17.99999952,62.00000167,0.636602819
car,782.5,140.4999983,37.00000048,35.0000006,0.722750723
person,1095.500031,259.50001,20.99999905,68.99999857,0.736073494
bus,735.5000305,107.4999976,73.00000191,70.99999845,0.762654364
car,612.0000076,174.9999976,54.00000095,42.00000018,0.840511799
