center_x,center_y,object_id
511,304,0
541,261,0
838,305,1
0,409,1
542,269,2
542,266,2
920,281,3
466,327,3
198,346,4
365,326,4
535,260,5
534,259,5
964,278,6
972,276,6
462,313,7
445,316,7
853,260,8
853,260,8
573,272,9
574,273,9
983,263,10
572,297,10
1038,262,11
1015,264,11
542,263,12
542,264,12
772,288,13
814,298,13
854,259,14
854,259,14
484,333,15
945,279,15
554,278,16
560,281,16
940,280,17
870,291,17
426,346,18
419,348,18
977,285,19
995,276,19
967,286,20
969,285,20
165,344,21
66,391,21
1030,269,22
744,292,22
854,261,23
852,260,23
891,287,24
0,411,24
84,397,25
928,286,25
967,263,26
982,261,26
851,260,27
852,260,27
918,283,28
604,314,28
855,274,29
729,287,29
0,392,30
631,296,30
0,402,31
944,281,31
990,263,32
996,263,32
0,399,33
550,326,33
866,272,34
549,273,34
1007,279,35
228,377,35
63,343,36
12,375,36
356,318,37
51,342,37
534,253,38
533,253,38
749,295,39
955,280,39
980,235,40
195,322,40
1035,273,41
287,362,41
901,283,42
509,328,42
497,304,43
997,246,43
1039,292,44
6,436,44
0,400,45
740,301,45
662,305,46
47,393,46
532,251,47
531,248,47
1051,343,48
4,444,48
99,345,49
0,359,49
185,347,50
187,344,50
326,356,51
0,402,51
108,333,52
0,547,52
0,403,53
442,322,53
459,339,54
0,407,54
331,362,55
331,362,55
0,413,56
30,406,56
16,481,57
1059,362,57
480,330,58
874,280,58
505,259,59
207,335,59
337,364,60
1035,267,60
8,459,61
1058,348,61
86,381,62
119,368,62
1016,338,63
5,446,63
156,390,64
0,413,64
0,561,65
533,240,65
9,451,66
1056,350,66
0,411,67
0,415,67
190,346,68
1,408,68
965,262,69
964,261,69
70,505,70
540,256,70
458,327,71
852,282,71
476,337,72
944,282,72
457,335,73
623,309,73
993,285,74
1031,280,74
299,361,75
0,405,75
4,416,76
1029,284,76
7,443,77
1064,294,77
0,336,78
0,573,78
926,289,79
640,318,79
181,345,80
181,346,80
696,488,81
680,551,81
1041,288,82
824,289,82
294,494,83
526,288,83
88,393,84
0,403,84
4,463,85
1055,363,85
530,278,86
532,274,86
355,328,87
613,292,87
328,343,88
0,396,88
245,515,89
514,302,89
304,358,90
429,328,90
535,248,91
535,247,91
183,346,92
184,346,92
1047,334,93
8,462,93
965,262,94
965,262,94
1025,293,95
518,335,95
242,374,96
129,384,96
156,348,97
156,348,97
930,273,98
928,273,98
138,363,99
128,365,99
96,375,100
0,420,100
534,323,101
676,305,101
483,327,102
716,301,102
825,272,103
822,272,103
113,387,104
0,403,104
71,398,105
324,362,105
121,340,106
0,340,106
1012,277,107
1031,277,107
390,338,108
328,343,108
165,350,109
101,371,109
182,345,110
183,346,110
183,349,111
183,348,111
1016,291,112
4,444,112
0,413,113
30,385,113
44,384,114
209,371,114
293,482,115
512,309,115
910,283,116
851,292,116
269,354,117
252,350,117
531,285,118
519,292,118
690,288,119
775,287,119
0,397,120
403,336,120
183,375,121
423,328,121
538,258,122
539,259,122
778,296,123
686,306,123
538,255,124
538,255,124
572,251,125
572,251,125
266,357,126
383,347,126
962,262,127
963,262,127
0,406,128
40,401,128
3,433,129
34,404,129
950,260,130
998,258,130
591,315,131
219,372,131
0,390,132
0,387,132
891,266,133
0,371,133
0,390,134
0,389,134
597,293,135
560,289,135
982,237,136
980,237,136
183,346,137
183,345,137
0,399,138
59,387,138
971,240,139
972,240,139
53,418,140
1022,292,140
1056,319,141
1060,328,141
533,254,142
565,287,142
912,245,143
903,247,143
833,251,144
889,246,144
580,268,145
775,256,145
0,389,146
0,390,146
1010,277,147
475,333,147
526,265,148
576,261,148
1020,285,149
3,426,149
987,272,150
449,338,150
533,257,151
532,255,151
820,295,152
839,293,152
534,255,153
534,255,153
65,396,154
145,383,154
0,407,155
109,387,155
0,400,156
0,403,156
570,269,157
927,276,157
0,341,158
957,258,158
1000,267,159
11,394,159
330,507,160
473,359,160
3,435,161
520,358,161
490,345,162
496,338,162
220,377,163
215,377,163
221,574,164
221,570,164
132,378,165
66,391,165
574,251,166
574,252,166
379,350,167
239,369,167
477,329,168
231,484,168
1013,281,169
1029,279,169
937,277,170
572,285,170
1019,331,171
4,436,171
0,406,172
177,381,172
518,313,173
525,301,173
937,289,174
810,299,174
1065,355,175
13,459,175
521,338,176
699,314,176
1030,267,177
1004,266,177
53,392,178
945,283,178
0,408,179
412,352,179
1023,278,180
994,276,180
569,502,181
570,490,181
184,345,182
183,345,182
957,285,183
861,290,183
0,397,184
739,304,184
542,268,185
543,269,185
569,349,186
1025,290,186
572,278,187
572,267,187
597,455,188
602,449,188
0,427,189
1010,339,189
868,274,190
807,277,190
1018,278,191
0,400,191
743,371,192
750,369,192
971,296,193
971,294,193
859,351,194
830,354,194
939,342,195
998,351,195
724,291,196
727,290,196
969,293,197
968,293,197
0,398,198
900,287,198
968,297,199
966,301,199
137,332,200
79,345,200
24,358,201
0,385,201
125,373,202
432,326,202
1004,273,203
984,275,203
157,300,204
0,369,204
999,279,205
1031,277,205
957,279,206
0,403,206
184,346,207
185,346,207
1004,272,208
999,272,208
896,287,209
0,403,209
183,348,210
183,348,210
968,288,211
0,390,211
532,253,212
532,252,212
1048,346,213
25,456,213
92,382,214
163,358,214
183,345,215
181,344,215
540,267,216
267,487,216
1015,333,217
13,452,217
27,421,218
1044,290,218
461,337,219
947,289,219
262,465,220
523,279,220
986,274,221
1011,273,221
0,378,222
158,327,222
962,279,223
115,383,223
184,346,224
183,346,224
0,352,225
6,334,225
1008,275,226
984,271,226
536,265,227
537,264,227
1015,324,228
8,444,228
341,491,229
517,304,229
568,285,230
564,284,230
573,251,231
574,251,231
535,277,232
524,297,232
0,414,233
1012,278,233
425,326,234
939,282,234
415,338,235
417,338,235
563,282,236
561,282,236
944,232,237
969,232,237
0,396,238
368,349,238
892,231,239
0,343,239
986,269,240
990,269,240
184,346,241
182,346,241
526,327,242
946,281,242
2,443,243
990,353,243
1004,238,244
642,274,244
548,272,245
552,276,245
993,274,246
1006,276,246
183,346,247
184,347,247
709,352,248
213,403,248
948,282,249
340,349,249
1,399,250
2,388,250
533,241,251
16,525,251
1003,278,252
622,320,252
132,324,253
135,326,253
135,324,254
135,326,254
302,344,255
0,395,255
948,244,256
946,244,256
0,410,257
453,340,257
9,432,258
1061,288,258
625,287,259
628,283,259
