epoch,train/box_loss,val/box_loss
0,0.046617,0.043013
1,0.049733,0.05304
2,0.0585,0.068028
3,0.062919,0.063685
4,0.059876,0.071667
5,0.064964,0.090329
6,0.068779,0.095024
7,0.070323,0.088012
8,0.07518,0.10805
9,0.083368,0.10926
10,0.083813,0.11427
11,0.093212,0.10659
12,0.094922,0.10845
13,0.096962,0.14621
14,0.099933,0.14684
15,0.093052,0.12718
16,0.094086,0.1329
17,0.094698,0.13748
18,0.087726,0.12145
19,0.090093,0.12031
20,0.08792,0.12332
21,0.085174,0.11016
22,0.086008,0.10641
23,0.082241,0.10372
24,0.083663,0.10387
25,0.084064,0.097473
26,0.08224,0.094176
27,0.082214,0.090057
28,0.082971,0.088743
29,0.083704,0.090961
30,0.080281,0.084174
31,0.07882,0.082264
32,0.080279,0.084805
33,0.082193,0.080948
34,0.076834,0.079909
35,0.074202,0.079008
36,0.075614,0.077384
37,0.076112,0.075774
38,0.07272,0.07472
39,0.073018,0.073312
40,0.076575,0.07472
41,0.074019,0.070532
42,0.073937,0.069881
43,0.071898,0.068882
44,0.070445,0.071497
45,0.076239,0.070449
46,0.070691,0.066075
47,0.068554,0.066942
48,0.069355,0.066887
49,0.069596,0.064623
50,0.066508,0.064425
51,0.06741,0.065552
52,0.066833,0.06352
53,0.066945,0.062511
54,0.065516,0.061472
55,0.066142,0.061757
56,0.065085,0.065367
57,0.065667,0.064728
58,0.066902,0.061877
59,0.064871,0.062731
60,0.06542,0.06051
61,0.063542,0.06072
62,0.066054,0.059185
63,0.064011,0.06088
64,0.067088,0.06217
65,0.065815,0.059209
66,0.060431,0.059063
67,0.06109,0.058421
68,0.062701,0.061854
69,0.064377,0.062417
70,0.063679,0.057478
71,0.061599,0.055987
72,0.060239,0.056549
73,0.061414,0.056361
74,0.06536,0.059375
75,0.063583,0.056204
76,0.060465,0.05514
77,0.059258,0.053624
78,0.060817,0.058667
79,0.061591,0.053565
80,0.058063,0.05554
81,0.058784,0.055859
82,0.0604,0.060905
83,0.062667,0.057069
84,0.058428,0.054223
85,0.058538,0.055294
86,0.058556,0.055686
87,0.059443,0.052158
88,0.057585,0.056628
89,0.058253,0.055711
90,0.059003,0.05252
91,0.058394,0.052869
92,0.057026,0.055862
93,0.059571,0.051837
94,0.055994,0.051527
95,0.056635,0.052888
96,0.059722,0.055254
97,0.058314,0.050739
98,0.056396,0.04993
99,0.053135,0.049986
