epoch,train/box_loss,val/box_loss
0,0.026917,0.020655
1,0.025067,0.020301
2,0.026135,0.020036
3,0.025711,0.020109
4,0.027203,0.020243
5,0.028847,0.020301
6,0.024553,0.020195
7,0.026696,0.020276
8,0.024721,0.020019
9,0.025238,0.019992
10,0.026011,0.020002
11,0.027037,0.019926
12,0.026971,0.019615
13,0.026588,0.01982
14,0.025789,0.019855
15,0.025518,0.019745
16,0.024836,0.019579
17,0.024627,0.019449
18,0.023931,0.019466
19,0.025158,0.019885
20,0.025095,0.019622
21,0.02513,0.019368
22,0.023796,0.019342
23,0.026518,0.01909
24,0.024208,0.019268
25,0.026,0.019152
26,0.024845,0.019145
27,0.025443,0.019421
28,0.025377,0.019212
29,0.024372,0.018988
30,0.025355,0.019259
31,0.023908,0.019221
32,0.025364,0.019206
33,0.02436,0.018978
34,0.024273,0.018992
35,0.024697,0.018862
36,0.023831,0.018874
37,0.022903,0.018886
38,0.023361,0.018722
39,0.02463,0.018976
40,0.024329,0.018874
41,0.024798,0.018859
42,0.024357,0.019127
43,0.02461,0.018842
44,0.024586,0.018706
45,0.02466,0.01861
46,0.023351,0.018578
47,0.023874,0.018631
48,0.024279,0.0189
49,0.025209,0.018567
50,0.024012,0.018645
51,0.025388,0.01845
52,0.023923,0.01855
53,0.023448,0.018267
54,0.023436,0.018383
55,0.021529,0.018463
56,0.023051,0.018547
57,0.022681,0.018314
58,0.023195,0.018203
59,0.024648,0.018233
60,0.024,0.018235
61,0.022601,0.018156
62,0.02294,0.018291
63,0.023658,0.018311
64,0.023893,0.01825
65,0.023147,0.018116
66,0.022619,0.018075
67,0.023655,0.018047
68,0.024709,0.01809
69,0.024048,0.017984
70,0.02493,0.018034
71,0.021915,0.017969
72,0.023377,0.018043
73,0.022779,0.018068
74,0.023116,0.017945
75,0.023205,0.017941
76,0.022733,0.017957
77,0.023465,0.017903
78,0.024548,0.017973
79,0.021781,0.017919
80,0.024192,0.017889
81,0.02253,0.01776
82,0.024051,0.017726
83,0.023887,0.017795
84,0.022282,0.017738
85,0.023319,0.01771
86,0.023186,0.017684
87,0.022343,0.017584
88,0.022925,0.017528
89,0.024145,0.017501
90,0.022551,0.017537
91,0.022584,0.017547
92,0.023764,0.0176
93,0.021375,0.017576
94,0.022752,0.017541
95,0.021824,0.017499
96,0.023449,0.017482
97,0.022076,0.017481
98,0.021724,0.017458
99,0.022614,0.01745
