epoch,train/box_loss,val/box_loss
0,0.012271,0.014045
1,0.01204,0.013829
2,0.011873,0.013958
3,0.011897,0.01382
4,0.011618,0.01432
5,0.011865,0.014338
6,0.012174,0.014157
7,0.013019,0.013997
8,0.011591,0.014183
9,0.011847,0.014068
10,0.011773,0.014015
11,0.012352,0.013829
12,0.011232,0.014018
13,0.011492,0.013794
14,0.011287,0.014062
15,0.012107,0.013854
16,0.010748,0.013979
17,0.011383,0.013933
18,0.012177,0.014115
19,0.011798,0.013589
20,0.011781,0.013394
21,0.010935,0.013672
22,0.011455,0.013686
23,0.01129,0.013355
24,0.011117,0.013463
25,0.011333,0.01343
26,0.010926,0.013624
27,0.010857,0.013552
28,0.011059,0.013617
29,0.011087,0.013363
30,0.010564,0.013438
31,0.010919,0.01335
32,0.011195,0.01311
33,0.010564,0.013285
34,0.01053,0.013399
35,0.010989,0.013435
36,0.010516,0.013413
37,0.010908,0.013025
38,0.01052,0.013044
39,0.010655,0.013343
40,0.011615,0.013138
41,0.010529,0.013282
42,0.010633,0.013198
43,0.010563,0.012969
44,0.010116,0.013038
45,0.010396,0.012962
46,0.010572,0.013243
47,0.010459,0.013039
48,0.010322,0.01301
49,0.010479,0.012898
50,0.010176,0.013059
51,0.010085,0.012971
52,0.010153,0.012787
53,0.010079,0.01276
54,0.010203,0.013069
55,0.010318,0.013024
56,0.0098393,0.013133
57,0.009601,0.012657
58,0.0098174,0.012573
59,0.010116,0.012657
60,0.0094789,0.012619
61,0.0097512,0.012802
62,0.010063,0.01277
63,0.0093083,0.012586
64,0.010134,0.012491
65,0.0096301,0.012602
66,0.0098349,0.01243
67,0.0090163,0.012496
68,0.0090517,0.012647
69,0.0094926,0.012679
70,0.0096359,0.012422
71,0.0089402,0.012579
72,0.0094236,0.01247
73,0.0092352,0.012337
74,0.0090256,0.012259
75,0.0095099,0.012433
76,0.0097262,0.012323
77,0.0088514,0.012233
78,0.0092998,0.01248
79,0.009154,0.012264
80,0.0087784,0.012199
81,0.0087084,0.012076
82,0.0089656,0.012255
83,0.0083613,0.012159
84,0.009127,0.012116
85,0.0090119,0.012184
86,0.0084412,0.012198
87,0.0086317,0.012235
88,0.0085801,0.011994
89,0.0080259,0.012126
90,0.0085277,0.012079
91,0.0086937,0.012057
92,0.0088628,0.011969
93,0.0083168,0.012068
94,0.0086828,0.012135
95,0.008422,0.011979
96,0.008217,0.012013
97,0.0084206,0.011999
98,0.0079652,0.012045
99,0.0080484,0.012017
