frame,object_id,object_type,bbox_left_up_x,bbox_left_up_y,bbox_x_length,bbox_y_length
4,1,motorbike,833,303,47,57
5,1,motorbike,833,302,48,58
6,1,motorbike,833,302,48,58
7,1,motorbike,833,302,48,58
8,1,motorbike,833,302,48,58
9,1,motorbike,833,302,48,58
10,1,motorbike,833,302,48,58
10,2,motorbike,810,280,33,70
11,1,motorbike,833,302,48,58
11,2,motorbike,809,280,32,68
12,1,motorbike,833,302,48,58
12,2,motorbike,808,280,32,68
13,1,motorbike,833,302,47,58
13,2,motorbike,806,280,32,69
14,1,motorbike,833,302,47,58
14,2,motorbike,806,280,32,69
15,1,motorbike,833,301,48,59
15,2,motorbike,805,280,33,69
16,1,motorbike,833,301,49,59
17,1,motorbike,833,301,49,59
18,1,motorbike,833,301,48,59
19,1,motorbike,833,301,48,59
20,1,motorbike,832,300,49,61
21,1,motorbike,832,300,49,61
22,1,motorbike,831,300,49,61
23,1,motorbike,831,300,49,61
24,1,motorbike,831,301,49,59
25,1,motorbike,831,301,48,59
26,1,motorbike,831,301,48,60
27,1,motorbike,831,301,47,60
28,1,motorbike,830,302,47,59
29,1,motorbike,828,302,47,58
30,1,motorbike,827,302,47,58
31,1,motorbike,825,301,47,59
32,1,motorbike,823,300,48,61
33,1,motorbike,822,300,48,61
34,1,motorbike,820,298,49,62
35,1,motorbike,818,298,49,62
36,1,motorbike,817,299,48,61
37,1,motorbike,814,296,50,64
38,1,motorbike,812,294,51,66
39,1,motorbike,810,294,51,66
40,1,motorbike,808,293,52,67
42,1,motorbike,802,295,50,66
43,1,motorbike,800,295,51,66
47,1,motorbike,789,300,48,63
48,1,motorbike,787,300,46,61
49,1,motorbike,784,299,48,63
50,1,motorbike,782,299,48,64
52,1,motorbike,770,299,51,68
53,1,motorbike,767,299,52,69
67,7,motorbike,862,276,35,61
68,7,motorbike,858,276,34,62
69,7,motorbike,854,274,35,63
70,7,motorbike,851,274,36,63
70,8,motorbike,908,287,23,38
71,7,motorbike,848,279,34,59
71,8,motorbike,907,285,24,40
72,7,motorbike,844,279,33,59
72,8,motorbike,907,284,24,41
73,7,motorbike,841,281,33,57
74,7,motorbike,838,282,32,57
86,10,motorbike,790,285,28,54
87,10,motorbike,788,285,29,54
90,11,motorbike,865,282,34,53
91,11,motorbike,861,280,34,56
92,11,motorbike,858,280,35,57
99,13,motorbike,721,302,36,52
100,13,motorbike,716,304,33,49
101,13,motorbike,709,305,33,48
102,13,motorbike,703,304,36,52
103,13,motorbike,698,305,34,49
104,13,motorbike,692,304,35,52
105,13,motorbike,687,304,36,52
106,13,motorbike,681,301,38,55
107,13,motorbike,675,299,39,57
108,13,motorbike,670,299,39,58
121,19,motorbike,707,286,32,47
122,19,motorbike,704,286,33,48
123,19,motorbike,701,287,32,47
124,19,motorbike,697,286,33,48
125,19,motorbike,695,286,32,48
127,3,smallcar,877,275,88,51
128,3,smallcar,873,275,90,52
129,3,smallcar,870,274,93,53
130,3,smallcar,872,275,90,51
130,5,smallcar,929,290,74,56
131,3,smallcar,870,275,91,52
131,5,smallcar,926,290,75,57
132,3,smallcar,866,275,92,52
132,5,smallcar,921,290,78,58
133,3,smallcar,863,275,93,53
133,5,smallcar,919,290,77,58
133,21,motorbike,208,352,21,68
134,3,smallcar,864,276,90,51
134,5,smallcar,917,291,77,58
134,21,motorbike,208,354,20,65
135,3,smallcar,863,276,90,51
135,5,smallcar,915,292,78,58
135,21,motorbike,208,353,20,67
136,3,smallcar,861,276,91,52
136,5,smallcar,911,292,78,58
136,21,motorbike,209,353,19,66
137,3,smallcar,858,276,93,52
137,5,smallcar,907,293,79,58
138,3,smallcar,855,276,93,52
138,5,smallcar,903,293,79,59
139,3,smallcar,852,277,95,52
139,5,smallcar,897,293,80,60
140,3,smallcar,849,276,97,55
140,5,smallcar,894,293,81,61
141,3,smallcar,846,276,100,56
141,5,smallcar,893,293,79,60
142,3,smallcar,844,276,103,57
142,5,smallcar,890,294,79,60
143,3,smallcar,842,276,98,55
143,5,smallcar,883,295,79,60
144,3,smallcar,838,276,99,56
144,5,smallcar,878,295,80,61
145,3,smallcar,836,277,96,54
145,5,smallcar,875,296,79,61
146,3,smallcar,835,277,94,54
146,5,smallcar,871,297,78,58
147,3,smallcar,833,277,94,55
147,5,smallcar,868,297,77,58
148,3,smallcar,831,276,96,55
148,5,smallcar,865,297,77,58
149,3,smallcar,829,276,96,55
149,5,smallcar,861,297,77,58
151,5,smallcar,845,296,88,67
152,5,smallcar,844,298,83,62
153,5,smallcar,840,298,83,63
154,5,smallcar,829,298,91,69
155,3,smallcar,819,277,99,58
155,5,smallcar,824,298,92,70
156,3,smallcar,816,277,101,59
156,5,smallcar,816,299,87,65
157,5,smallcar,811,300,85,63
158,5,smallcar,807,301,84,62
159,5,smallcar,801,302,86,63
160,5,smallcar,795,303,88,64
161,5,smallcar,787,302,91,67
162,5,smallcar,783,303,91,66
163,5,smallcar,782,305,89,64
164,5,smallcar,775,306,90,65
165,5,smallcar,767,306,93,67
166,5,smallcar,763,308,93,65
166,25,motorbike,200,352,37,80
167,5,smallcar,756,307,95,68
167,25,motorbike,195,355,36,79
168,5,smallcar,751,308,96,67
168,25,motorbike,191,355,37,79
169,5,smallcar,746,308,99,69
169,25,motorbike,188,357,37,76
169,26,motorbike,384,408,90,113
170,5,smallcar,738,309,101,70
170,25,motorbike,185,358,36,76
170,26,motorbike,396,408,89,112
171,5,smallcar,731,309,101,71
171,26,motorbike,409,406,90,115
172,5,smallcar,724,310,101,70
172,26,motorbike,420,406,91,115
